"path","closure","backup_sha256","recovered_sha256","curated_after_recovery","sensitive_content_review","notes"
"research/imports/20260729_Emergente Eigenschaften in LLMs.md","recovered","65cdf7950b4aa5dc9846ecac6c1f7f7c3d4072335c8923a707147fb5a923dc55","0f8afc3116182151ddfddad6fa8cb652a5af301b02ccab315642bce2cf6ecb4d","true","passed","Recovered from verified backup, then three-way merged or boundedly curated for current citations, links, navigation, provenance, line endings, or EOF whitespace safety."
"research/imports/deep-research-report.md","recovered","6be9babb8b091edd9c64acd7487d3c01501b0b893c4599aa7b3505190f560b9a","6be9babb8b091edd9c64acd7487d3c01501b0b893c4599aa7b3505190f560b9a","false","passed","Recovered byte-identically from verified backup."
"research/imports/karpathy-method-agentic-workflows-ai-synthesis-2026-06-10.txt","recovered","055420380a86a50e5ed593f5f5ee091d401a5f4ac371633550de088c5a25c4c4","055420380a86a50e5ed593f5f5ee091d401a5f4ac371633550de088c5a25c4c4","false","passed","Recovered byte-identically from verified backup."
"wiki/abm-customer-expansion-playbook.md","recovered","f1bdbf525b7701c1f13370ba7c8d22c75fddef72fbfbef300cf9dc818e85eb2c","f1bdbf525b7701c1f13370ba7c8d22c75fddef72fbfbef300cf9dc818e85eb2c","false","passed","Recovered byte-identically from verified backup."
"wiki/abm-operating-models-clippings-july-2026.md","recovered","2d1be322c2c64aa6073edbd8db37fa78f7162593367d017ce6a9334c6efcd44e","2d1be322c2c64aa6073edbd8db37fa78f7162593367d017ce6a9334c6efcd44e","false","passed","Recovered byte-identically from verified backup."
"wiki/abm-play-library-external-evidence-wave-1.md","recovered","43e00419e1549790f40877e3d2207c0ecb7724e21b1d30f97f57cdef13f16d6b","81d0be0c6bd96915708efa3d5c6b7660b8f5d524937ecca0b9a2be00e05d521d","true","passed","Recovered from verified backup, then three-way merged or boundedly curated for current citations, links, navigation, provenance, line endings, or EOF whitespace safety."
"wiki/abm-sales-marketing-operating-contract.md","recovered","e5ad65cfc725f0ceafa53a557ff2d1e4110bb8b813f224b109bc2b89ad26e547","e5ad65cfc725f0ceafa53a557ff2d1e4110bb8b813f224b109bc2b89ad26e547","false","passed","Recovered byte-identically from verified backup."
"wiki/account-based-marketing.md","recovered","cfbe9aab354f05992a5b6d663524adcc78acd9da03ea60b62db75d1b5ea82a20","cfbe9aab354f05992a5b6d663524adcc78acd9da03ea60b62db75d1b5ea82a20","false","passed","Recovered byte-identically from verified backup."
"wiki/account-based-marketing-strategy-deck-2023.md","recovered","05c7364aeac54474561e0a110ddbac98f74f677e9a987a36e26320c2737984d2","05c7364aeac54474561e0a110ddbac98f74f677e9a987a36e26320c2737984d2","false","passed","Recovered byte-identically from verified backup."
"wiki/account-data-admission-gate.md","recovered","b5e3a7fb28b0295b100335b3f425291b6cb96525f0152a9c4ac63d33a24798ec","b5e3a7fb28b0295b100335b3f425291b6cb96525f0152a9c4ac63d33a24798ec","false","passed","Recovered byte-identically from verified backup."
