"path","closure","backup_sha256","recovered_sha256","curated_after_recovery","sensitive_content_review","notes"
"docs/plans/2026-07-13-001-feat-newsletter-knowledge-discovery-pipeline-v2-plan.md","recovered","be8bc7dad01bdc4f1bb5faaa34d101c3e887d8c5ca4779c49ad601311428c087","be8bc7dad01bdc4f1bb5faaa34d101c3e887d8c5ca4779c49ad601311428c087","false","passed","Recovered byte-identically from verified historical workspace; backup staging omission."
"research/2026-07-18-newsletter-intelligence-week4.md","recovered","8615f99ded37d0e1d8fbfcf6af0c4dafc94bedba806114835c8b8839c093c074","8615f99ded37d0e1d8fbfcf6af0c4dafc94bedba806114835c8b8839c093c074","false","passed","Recovered byte-identically from verified backup."
"research/2026-07-18-newsletter-intelligence-week4-review-dispositions.md","recovered","62aa08780fcc23192ed95bec09de45237df8f88a06bb10cf88582fdf45ad365c","62aa08780fcc23192ed95bec09de45237df8f88a06bb10cf88582fdf45ad365c","false","passed","Recovered byte-identically from verified backup."
"skills/newsletter-intelligence/agents/openai.yaml","recovered","973ebb7612bf840f6cd86e8c473f6d9984d876be1628ffb1e5a3b37a19b082e2","89479be7dfdce840a46a751aa9aac10fdc3e8f16e8c3e47682c51b8bf82327de","true","passed","Recovered from verified backup, then boundedly curated for current runtime, privacy, dependency, link, or line-ending contracts."
"skills/newsletter-intelligence/references/efficient-execution.md","recovered","4c5d0d33d3ca3772d05540f808b183063d85c9df2d0cddd6c2a43c7c286c5a14","4c5d0d33d3ca3772d05540f808b183063d85c9df2d0cddd6c2a43c7c286c5a14","false","passed","Recovered byte-identically from verified backup."
"skills/newsletter-intelligence/references/link-enrichment.md","recovered","f9d9e52d3586b5cb104151625c2b8f004f25911ca72ccdde131947370358eb25","fa3dbe8e2d0fc9510b4b08aab508cad6becbec507334d3d6cc01da43dd702de9","true","passed","Recovered from verified backup, then boundedly curated for current runtime, privacy, dependency, link, or line-ending contracts."
"skills/newsletter-intelligence/references/record-contracts.md","recovered","84f5da62d4d78b9351714994b2caccd1ad1f2456d0a39f34fdd2299f49d31e5e","84f5da62d4d78b9351714994b2caccd1ad1f2456d0a39f34fdd2299f49d31e5e","false","passed","Recovered byte-identically from verified backup."
"skills/newsletter-intelligence/references/retrieval-permissions.md","recovered","7dd98fbafd4a5fd6d39b1ff2669f4048d1a867d6e5c532c477dbefe51a988cb4","7dd98fbafd4a5fd6d39b1ff2669f4048d1a867d6e5c532c477dbefe51a988cb4","false","passed","Recovered byte-identically from verified backup."
"skills/newsletter-intelligence/references/signal-judging.md","recovered","db8d0e2c86349785d88f442fb0d51287367bde7a4a4ec19cd1640ee3533cda36","db8d0e2c86349785d88f442fb0d51287367bde7a4a4ec19cd1640ee3533cda36","false","passed","Recovered byte-identically from verified backup."
"skills/newsletter-intelligence/references/validation-contract.md","recovered","b8a28daebb37add754801f9ef885736ddd3b8d81270f5a31a71078e13094e42a","b8a28daebb37add754801f9ef885736ddd3b8d81270f5a31a71078e13094e42a","false","passed","Recovered byte-identically from verified backup."
"skills/newsletter-intelligence/SKILL.md","recovered","7ef121064c210013ab661fe1f1e792ecf637a0c78eb298a69b4920f7fd9f6fa8","7ef121064c210013ab661fe1f1e792ecf637a0c78eb298a69b4920f7fd9f6fa8","false","passed","Recovered byte-identically from verified backup."
"templates/newsletter-intelligence/priority-context.json","recovered","d5722aef50b87e83d6b34c9828ab85d4a105df6b02113a8e22da7b2c36f514ee","d5722aef50b87e83d6b34c9828ab85d4a105df6b02113a8e22da7b2c36f514ee","false","passed","Recovered byte-identically from verified backup."
"tests/newsletter-intelligence/link-gating.tests.ps1","recovered","ce4175832d3ccfca264ba4137cc2a8608514a30878be61d81bff63c8b2f31a11","ce4175832d3ccfca264ba4137cc2a8608514a30878be61d81bff63c8b2f31a11","false","passed","Recovered byte-identically from verified backup."
"tests/newsletter-intelligence/newsletter-index.tests.ps1","recovered","6066154f32f4d51eb590ca80d68106145cc8ccd30a59684f0c987eddbe8fe06a","6066154f32f4d51eb590ca80d68106145cc8ccd30a59684f0c987eddbe8fe06a","false","passed","Recovered byte-identically from verified backup."
"tests/newsletter-intelligence/pipeline_tools_test.py","recovered","494b85ffd3804fe313a19a2ce4ff6c36b4d2177a3f9a6730e909180f761e823a","494b85ffd3804fe313a19a2ce4ff6c36b4d2177a3f9a6730e909180f761e823a","false","passed","Recovered byte-identically from verified backup."
"tests/newsletter-intelligence/pipeline-tools.tests.ps1","recovered","efa384a86f9a5f07a1926ffdd14cfe859a5d17064351a3f6a7662af88566b1af","b961bdb4f135a6734b8f49360a72101346df7f741b501507bb502a6794800140","true","passed","Recovered from verified backup, then boundedly curated for current runtime, privacy, dependency, link, or line-ending contracts."
"tests/newsletter-intelligence/priority-topic.tests.ps1","recovered","b2cca0c4ce68ff1fadfb7a681e619391548417d938e135ef559f4552a6855467","b2cca0c4ce68ff1fadfb7a681e619391548417d938e135ef559f4552a6855467","false","passed","Recovered byte-identically from verified backup."
"tests/newsletter-intelligence/source-analysis.tests.ps1","recovered","dcd2cb8a9e09429864c1b7a16f9fcf48b0ee7aa622b4982c2a39de3b1b76c64d","dcd2cb8a9e09429864c1b7a16f9fcf48b0ee7aa622b4982c2a39de3b1b76c64d","false","passed","Recovered byte-identically from verified backup."
"tools/config/newsletter-retrieval-profile.toml","recovered","b990318d7ddb4c9485f3b582c3e19db69c0329c03adccb6c98cf0736cf81b478","b990318d7ddb4c9485f3b582c3e19db69c0329c03adccb6c98cf0736cf81b478","false","passed","Recovered byte-identically from verified backup."
"tools/install-newsletter-retrieval-profile.ps1","recovered","e635ee1e4e6575d92d35764bb24444078a11e77f04513bab869adac4d0623c08","e635ee1e4e6575d92d35764bb24444078a11e77f04513bab869adac4d0623c08","false","passed","Recovered byte-identically from verified backup."
"tools/newsletter_batch.py","recovered","182f425886c1e8fd1a35ccaa1295c49bb220aa1cb9ad5253e0374d8e06f2b0fe","182f425886c1e8fd1a35ccaa1295c49bb220aa1cb9ad5253e0374d8e06f2b0fe","false","passed","Recovered byte-identically from verified backup."
"tools/newsletter_snapshot_extract.py","recovered","8086249adcbf6e860f4487570a6c34bb214b1380a90b913cc85d95422942f3f4","8086249adcbf6e860f4487570a6c34bb214b1380a90b913cc85d95422942f3f4","false","passed","Recovered byte-identically from verified backup."
"tools/newsletter-intelligence.ps1","recovered","76961c198d776c6c687d41de0c6731f6ff946a07f2980e77007db73c8ec4c6cd","50320e8f0c709c28a04398415ebe13ce31e258b438a46cb7935994c82eb41c44","true","passed","Recovered from verified backup, then boundedly curated for current runtime, privacy, dependency, link, or line-ending contracts."
"tools/newsletter-source-analysis.ps1","recovered","741870c2666c81f0694f21d5c9e230476881fbbec59731d1957c1584cec587d9","741870c2666c81f0694f21d5c9e230476881fbbec59731d1957c1584cec587d9","false","passed","Recovered byte-identically from verified backup."
"tools/newsletter-validate-analyses.ps1","recovered","0f1d5bc4ddf65093877c7a2437d38fa32aed906ba157751b26686ca3205092a4","0f1d5bc4ddf65093877c7a2437d38fa32aed906ba157751b26686ca3205092a4","false","passed","Recovered byte-identically from verified backup."
"tools/switch-newsletter-retrieval-profile.ps1","recovered","615d39f8226bd991e86d653a112b10bb178aa04cfc7fae1d86bde9d4ea14c1e6","615d39f8226bd991e86d653a112b10bb178aa04cfc7fae1d86bde9d4ea14c1e6","false","passed","Recovered byte-identically from verified backup."
"tools/test-newsletter-weekly-validation.ps1","recovered","ec68fe1bcc8441e0575c65cea0557ccd320a685bc1ed755ec2a77ed82eccee44","ec68fe1bcc8441e0575c65cea0557ccd320a685bc1ed755ec2a77ed82eccee44","false","passed","Recovered byte-identically from verified backup."
"tools/update-newsletter-index.ps1","superseded","9e447d155ad3bbe416a20fc1b6165ddd2c3f2e0018d1ddb05b2c229b1fb8ef9a","6b5549f215c310ba28cef8e4a445306875e63aff7b7afe329245d957bebc1b12","false","passed","Historical generator superseded by the stricter current-main implementation; current bytes retained."
"wiki/newsletter-intelligence-pipeline.md","recovered","1fafd2c963262630aa600491220735457dbc4cbb5cea2c04434cdeb56772fab3","d86a63e84697ce1c84deb4b183ab85804e185d3e56f4c9c22ae046b3648eea4b","true","passed","Recovered from verified backup, then boundedly curated for current runtime, privacy, dependency, link, or line-ending contracts."
