"path","support_class","source_commit","source_sha256","recovered_sha256","curated_after_recovery","notes"
"projects/abm-operating-system/.gitattributes","recovery-generated-line-ending-contract","-","-","d2eb1a317920a1e2fd04a1b7352ef04bfb1f0b9f4d0594f4dc395a87ce2ccfba","true","Forces LF for project Markdown so approved byte fingerprints survive Windows checkouts."
"projects/abm-operating-system/2026-07-21-abm-operating-system-implementation-plan.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","c268ab4dbaa365eead8849d6cbbed1a07b9d1e654c29ad2f821d68413a9b36a4","c268ab4dbaa365eead8849d6cbbed1a07b9d1e654c29ad2f821d68413a9b36a4","false","Recovered byte-identically to the clean historical working file."
"projects/abm-operating-system/AGENTS.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","be4fa269694e86220fd017a53728a00f06eaa91b67d166ad80256b319a800d43","be4fa269694e86220fd017a53728a00f06eaa91b67d166ad80256b319a800d43","false","Recovered byte-identically to the clean historical working file."
"projects/abm-operating-system/authority/linkedin/servicenow-pursuit-marketing-derivatives.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","9315c64356d707a7b56d6ad76b37a7c5a8b4d507668257ebe04212680d555c9b","9315c64356d707a7b56d6ad76b37a7c5a8b4d507668257ebe04212680d555c9b","false","Recovered byte-identically to the clean historical working file."
"projects/abm-operating-system/authority/qualified-pursuit-sprint-operator-playbook.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","0a11bf05c199b41bbb9c490d9c0ba09e6de69b1b5099effe40db7e6754f19852","0a11bf05c199b41bbb9c490d9c0ba09e6de69b1b5099effe40db7e6754f19852","false","Recovered byte-identically to the clean historical working file."
"projects/abm-operating-system/authority/servicenow-authority-pilot-g4-review.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","855821ccc4a161ad1a183abd405373dd5ce334e10dc1af4aea933573c5ab0b48","855821ccc4a161ad1a183abd405373dd5ce334e10dc1af4aea933573c5ab0b48","false","Recovered byte-identically to the clean historical working file."
"projects/abm-operating-system/authority/testing-enterprise-growth-system-01-servicenow.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","891cba3e2e9a7c28b935a6ee125ca8e04534c08b356ee777b0a7ab9ce9af5eb2","891cba3e2e9a7c28b935a6ee125ca8e04534c08b356ee777b0a7ab9ce9af5eb2","false","Recovered byte-identically to the clean historical working file."
"projects/abm-operating-system/frameworks/index.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","81e18df66f95f9863e8df12115adad86970bb64516d0f0497496c03b7b464e00","dc2f16db642bdd165b424eae2ba2c2ef504ec8adb81fcb29e037bb186a6e51dd","true","Recovered from the historical committed baseline, then changed only to replace unresolved wave-11 navigation with explicit deferred paths."
"projects/abm-operating-system/project-charter.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","8d767ba6a0066a95fa8acd54b6bad407db2db40b7e7b653f1cfe2a3a0592701d","ce7634654858f4b8df0ad944bef2208d4c092411b491e5fdf7d3a7a7dcec149f","true","Recovered from the historical committed baseline, then changed only to replace unresolved wave-11 navigation with explicit deferred paths."
"projects/abm-operating-system/templates/blueprint-challenge-record.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","8ef0357ce8d82894c9e3e87d4139cc712cd71dd00bd563f1ee5f394b8198e1f2","8ef0357ce8d82894c9e3e87d4139cc712cd71dd00bd563f1ee5f394b8198e1f2","false","Recovered byte-identically to the clean historical working file."
"projects/abm-operating-system/templates/pattern-intelligence-record.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","c1821e95a3625314ea55a5d34863e1be484ba01e1c0af0af98e26424bea1fbb0","c1821e95a3625314ea55a5d34863e1be484ba01e1c0af0af98e26424bea1fbb0","false","Recovered byte-identically to the clean historical working file."
"projects/abm-operating-system/wiki/_outputs/abm-seed-asset-manifest.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","d7dfe78b48166815541e64974dde573e396f1d6a940dfbfd98e01ed5c22cb55e","d7dfe78b48166815541e64974dde573e396f1d6a940dfbfd98e01ed5c22cb55e","false","Recovered byte-identically to the clean historical working file."
"projects/abm-operating-system/wiki/cases/backbase-ai-native-abm-transformation.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","318949a8b654a3ad036dff5a35cc6f5911cb1962efcc29d7d732f7ebb66d43fa","934aa50eefc3c20622057a2ac07065ebcd8d9caacea734f1514c0d7e00980ac2","true","Recovered from the historical committed baseline, then changed only to replace unresolved wave-11 navigation with explicit deferred paths."
"projects/abm-operating-system/wiki/cases/crossknowledge-abm-pilot.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","d5a7d9a0e5545d94d02ec116f60830fa03daa38d2653794eb1ba2bbb1f62aec1","41b92a996e9f05dcbc44d60dd6e8aee1579c805e1e5b33ad7d9700f6f13ab8f1","true","Recovered from the historical committed baseline, then changed only to replace unresolved wave-11 navigation with explicit deferred paths."
"projects/abm-operating-system/wiki/cases/enterprise-abm-scale-system.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","bc2bfbf7be65baaf342831a939a9812b4070a216791c4af7aae410a855c21c41","d8d6cd192efa27e13413d0015bdc762536d4ebf2ab66d5ad66478e2632b9b331","true","Recovered from the historical committed baseline, then changed only to replace unresolved wave-11 navigation with explicit deferred paths."
"projects/abm-operating-system/wiki/cases/ntt-data-embedded-account-management.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","f5f27c6cfcce7f1e17d7924bc505fe0be98c3ccad29030f1ee20a430748cab04","eb22425fb485433cb899f9e05e890aa499eebf56d8a998240fbff44fea0bccef","true","Recovered from the historical committed baseline, then changed only to replace unresolved wave-11 navigation with explicit deferred paths."
"projects/abm-operating-system/wiki/cases/servicenow-pursuit-marketing.md","historical-committed-baseline","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","86c574681e464bba7bf2bb7e66dd1aec56b2e2898966f1eb7cd68700a862dd12","3efd5c7239f233e7da72cfadb240ffde97a288344d9fb3a913326c7b36a56e46","true","Recovered from the historical committed baseline, then changed only to replace unresolved wave-11 navigation with explicit deferred paths."
