"path","closure","artifact_status","backup_sha256","recovered_sha256","curated_after_recovery","sensitive_content_review","publication_authority","notes"
"projects/content-operating-system/AGENTS.md","recovered","not-applicable","8c3d08dbb2c1939bb65c506e2910c94624559cefa6f2ccb4b13bddbb6ec2593e","8c3d08dbb2c1939bb65c506e2910c94624559cefa6f2ccb4b13bddbb6ec2593e","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/decisions/log.md","recovered","not-applicable","f3be68b68a10c2356e1991a41e872e2797e39d133e00031539d12b879c7e521c","f3be68b68a10c2356e1991a41e872e2797e39d133e00031539d12b879c7e521c","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/evolution-backlog.md","recovered","active","9ab9311251ac1117317f76de0c9732dd8c6262a5e38620621b9d8a74412d49d2","9ab9311251ac1117317f76de0c9732dd8c6262a5e38620621b9d8a74412d49d2","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/frameworks/_meta/artifact-inventory-2026-07-28.md","recovered","active","94219d8c71fc4d69e2896bc709d7ca2a5f9bb3d73592b3b215913780364eabb2","94219d8c71fc4d69e2896bc709d7ca2a5f9bb3d73592b3b215913780364eabb2","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/frameworks/_meta/deep-research-assessment-2026-08-01.md","recovered","reviewed","08d731c608814f00a20fa1138bd1f7358c9b9ca3505f74c0c59993496ae7786d","f763c8e0c729243d5e4343d6d67fe9892bd3cb2fc97d1e431f2a06a9ad7ad8cd","true","passed","unchanged-none-or-file-state","Recovered from verified backup, then curated only to remove one terminal blank line for a clean Git patch; content and publication boundary unchanged."
"projects/content-operating-system/frameworks/_meta/execution-calibration-decision-2026-08-01.md","recovered","adopted","1a6b77f93e08344b586ff7faeb8c551a614d45edc5fd4e8779202d6c6fc284af","1a6b77f93e08344b586ff7faeb8c551a614d45edc5fd4e8779202d6c6fc284af","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/frameworks/creative-direction/strategic-creative-direction.md","recovered","draft","9f64ad6c4becc82e4e7cecfd0057d6028ca190fc7eb3416a9b31c7df34818a30","9f64ad6c4becc82e4e7cecfd0057d6028ca190fc7eb3416a9b31c7df34818a30","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/frameworks/execution/content-execution.md","recovered","draft","e720124864eef87b439f9574c0156d33576a4b730fbd2e25447b67d020f03916","e720124864eef87b439f9574c0156d33576a4b730fbd2e25447b67d020f03916","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/frameworks/execution/editorial-quality-rubric.md","recovered","draft","f1e0127932c4acf9a3892fa1002a89ed75bd722bf0f2e2c86a41f9bfe533f621","f1e0127932c4acf9a3892fa1002a89ed75bd722bf0f2e2c86a41f9bfe533f621","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/frameworks/index.md","recovered","not-applicable","2c57ba036c1c418c4ac6d547b8411b02e96721f874396e3e545ceab14c3048c8","2c57ba036c1c418c4ac6d547b8411b02e96721f874396e3e545ceab14c3048c8","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/frameworks/meta/content-operating-system-meta-framework.md","recovered","draft","ee79b1e58ca9554d2098235192ecce59615b42ea8fb68cdb6794c9e1119c4865","ee79b1e58ca9554d2098235192ecce59615b42ea8fb68cdb6794c9e1119c4865","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/publishing/channels/email.md","recovered","provisional","0964e988f2642e97ec51155e12c2514ba87fe5d6e12781ba483fcec3507bf6dc","0964e988f2642e97ec51155e12c2514ba87fe5d6e12781ba483fcec3507bf6dc","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/publishing/channels/linkedin.md","recovered","provisional","103030dd5c8f09c541692f4a8ada12483139af92a9b339a86c9b27f60ab7b22b","103030dd5c8f09c541692f4a8ada12483139af92a9b339a86c9b27f60ab7b22b","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/publishing/channels/website.md","recovered","provisional","4360750a9ce9c1d01c8b1b47bf58eb441669c18fd7b6ea577ad16883c674d94b","4360750a9ce9c1d01c8b1b47bf58eb441669c18fd7b6ea577ad16883c674d94b","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/publishing/identity/editorial-positioning.md","recovered","provisional","077ab421befaa8db5e9c26bb767f60d153dcaa2271cd728f0b3b7b82d73a19e9","077ab421befaa8db5e9c26bb767f60d153dcaa2271cd728f0b3b7b82d73a19e9","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/publishing/identity/execution-calibration-pack.md","recovered","provisional","012f12cf8e392297548b784e900b80f32edf91a8ea430b7c98484d6281c8bc7d","012f12cf8e392297548b784e900b80f32edf91a8ea430b7c98484d6281c8bc7d","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/publishing/identity/personal-content-audience.md","recovered","provisional","fecf1b7d0c9a52e62f73c96ee9480c631d4f9d4ecf33982b66b151091ff180f3","fecf1b7d0c9a52e62f73c96ee9480c631d4f9d4ecf33982b66b151091ff180f3","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/publishing/identity/voice-and-channel-calibration-2026-07-27.md","recovered","provisional","bf6bdb67940e7a61cde5bb7f2d8446f68b4214c926bcc770fa030eff519ce3ac","bf6bdb67940e7a61cde5bb7f2d8446f68b4214c926bcc770fa030eff519ce3ac","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/publishing/identity/voice-and-style.md","recovered","provisional","54802e0425c73ffe06567061729344009bc84268062b9a7c3fd02308bd21ec4e","54802e0425c73ffe06567061729344009bc84268062b9a7c3fd02308bd21ec4e","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/publishing/publication-register.md","recovered","active","417caabdd018bcd31d7b3acd45ec06e402e577a166d46a311069a51e5da9aeaf","3d4df4ecf7361b5c0ce0d2794d4c24bba052a836c7a6fe12a059a041be4a86a6","true","passed","unchanged-none-or-file-state","Recovered from verified backup, then boundedly curated for current dependencies, path privacy, register reconciliation, validator compatibility, or clean Markdown."
"projects/content-operating-system/README.md","recovered","active","561eff79b8da5d5efd07be2b831b680e1e7e646854b0bf7510a37993209cb08c","99652d6415d29a9ddb62d79ab3b8335074726b41b9841f1e50ee980fa6782f87","true","passed","unchanged-none-or-file-state","Recovered from verified backup, then boundedly curated for current dependencies, path privacy, register reconciliation, validator compatibility, or clean Markdown."
"projects/content-operating-system/strategy.md","recovered","active","02b43cde78873ff61ac26d4660bb5e5d3c522790a17180b67869fdfefbf5723b","02b43cde78873ff61ac26d4660bb5e5d3c522790a17180b67869fdfefbf5723b","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/templates/content-brief.md","recovered","template","be460cae13566effaea1698ed5f202e361ac410960481adef8bf2a73ebeb254e","be460cae13566effaea1698ed5f202e361ac410960481adef8bf2a73ebeb254e","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/templates/content-context-packet.md","recovered","template","7b2122c70e229441b1df7522faa02ed55317c4ae5ac8b42a42b7624d53af9a84","7b2122c70e229441b1df7522faa02ed55317c4ae5ac8b42a42b7624d53af9a84","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/templates/content-lifecycle-pilot-record.md","recovered","template","21ffcf6332666a952bf627eaad609d75ccf055460b328acf7e863d089e2a986d","21ffcf6332666a952bf627eaad609d75ccf055460b328acf7e863d089e2a986d","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/templates/creative-direction.md","recovered","template","60f5cd75f8477bae3cad747357ddf14db1821b0266a50b05d9b7872442204c01","60f5cd75f8477bae3cad747357ddf14db1821b0266a50b05d9b7872442204c01","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/templates/execution-calibration-record.md","recovered","template","ce554f560d2a5be875a49f9dc8b732418ffabfcdd9c786ae97c734cda25099bc","ce554f560d2a5be875a49f9dc8b732418ffabfcdd9c786ae97c734cda25099bc","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/templates/performance-record.md","recovered","template","939caaef24dbb018ae0531b9a5d5c7d11111c53f3ca403005fb7c39b2fd9cf25","939caaef24dbb018ae0531b9a5d5c7d11111c53f3ca403005fb7c39b2fd9cf25","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/tools/config/content-object-contract.json","recovered","not-applicable","78cb17261b484ad9370c4ecdc0d5bd4e16d7594d80a05ee6bb044ba759740af5","51b9b9ff600450612473f11f9dde25a9d05ae8a3c8720865d4105c234415e749","true","passed","unchanged-none-or-file-state","Recovered from verified backup, then boundedly curated for current dependencies, path privacy, register reconciliation, validator compatibility, or clean Markdown."
"projects/content-operating-system/tools/test-content-object-contract.ps1","recovered","recorded","acf3d58559a7dbda0a7616f72e8b88031cb408def0661e970213d1612f6a8d2d","9b10e5d1d6b624b603801799768f62c5ab736c9c2fb01befd45d3a34107f53c2","true","passed","unchanged-none-or-file-state","Recovered from verified backup, then boundedly curated for current dependencies, path privacy, register reconciliation, validator compatibility, or clean Markdown."
"projects/content-operating-system/tools/validate-content-objects.ps1","recovered","not-applicable","28b9a3b0ef52b7caea2e54491b7a4c22da5d6730faec01ca02656b0cd5f1b967","366f4315496d31f3d97cd4d08971bf86e2389944810ffa2d9d4e63d226813dd1","true","passed","unchanged-none-or-file-state","Recovered from verified backup, then boundedly curated for current dependencies, path privacy, register reconciliation, validator compatibility, or clean Markdown."
"projects/content-operating-system/workflows/content-lifecycle-runbook.md","recovered","not-applicable","f4029cdb560b83ae5142a37d93285900210efaa5bc53b085c09830d87128b46b","f4029cdb560b83ae5142a37d93285900210efaa5bc53b085c09830d87128b46b","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/content-operating-system/workflows/contextops-intake-contract.md","recovered","not-applicable","1a2cd0002297d34fd8596163233dac37cf4b2268f9e9f272b9554cc843e55e77","1a2cd0002297d34fd8596163233dac37cf4b2268f9e9f272b9554cc843e55e77","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/No and low code_1st Marketing Agent/Backlog.md","recovered","active","055be7d2efa00c767f12251b0caeb7741daa18ffa500d2f8f767d0dea9a07f82","776379ce031144feef7b732c4f06344d14121d44942e4bea35bd8a745035db68","true","passed","unchanged-none-or-file-state","Recovered from verified backup, then boundedly curated for current dependencies, path privacy, register reconciliation, validator compatibility, or clean Markdown."
"projects/No and low code_1st Marketing Agent/decisions/log.md","recovered","active","b583acb1b71fe871045d1c0fc124aaf4c92ccbce1b05b54516a9b86ae065da4e","44aa023bd7cf8e036c0e7979d4b66ce9b402dc1459b72e11b30c3d49469e342d","true","passed","unchanged-none-or-file-state","Recovered from verified backup, then boundedly curated for current dependencies, path privacy, register reconciliation, validator compatibility, or clean Markdown."
"projects/No and low code_1st Marketing Agent/frameworks/_meta/improvement-backlog.md","recovered","not-applicable","cb3a75bb1de843a7df3386b8a77406beaaf9f3a0c68bf92cde71f499b252caf6","cb3a75bb1de843a7df3386b8a77406beaaf9f3a0c68bf92cde71f499b252caf6","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/No and low code_1st Marketing Agent/frameworks/_meta/usage-log.md","recovered","not-applicable","69bb9cec724bc7401f14872d3c0bb5c596352cb869f63054197e62d43f97933b","69bb9cec724bc7401f14872d3c0bb5c596352cb869f63054197e62d43f97933b","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/No and low code_1st Marketing Agent/frameworks/index.md","recovered","not-applicable","df298903e8d2d3c7f124793b81d0271ef3837723df22398871a81ffb71f34dcc","df298903e8d2d3c7f124793b81d0271ef3837723df22398871a81ffb71f34dcc","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
